WMO-Station ID; StationName;                                Latitude; Longitude; Height; Country
35700;          Atyrau;                                        47.12;     51.83;    -22; Kazakhstan                                     
35746;          Aral;                                          46.78;     61.65;     53; Kazakhstan                                     
35796;          Balhash;                                       46.81;     75.06;    350; Kazakhstan                                     
35849;          Kazaly;                                        45.77;     62.12;     68; Kazakhstan                                     
35925;          Sam;                                           45.40;     56.12;     88; Kazakhstan                                     
35953;          Dzhusaly;                                      45.50;     64.08;    103; Kazakhstan                                     
36003;          Pavlodar;                                      52.30;     76.93;    122; Kazakhstan                                     
36038;          Zmeinogorsk;                                   51.15;     82.17;    355; Russian Federation                             
36064;          Yajlju;                                        51.77;     87.60;    480; Russian Federation                             
36096;          Kyzyl;                                         51.71;     94.49;    632; Russian Federation                             
36177;          Semipalatinsk;                                 50.42;     80.29;    196; Kazakhstan                                     
36208;          Leninogorsk;                                   50.33;     83.55;    811; Kazakhstan                                     
36229;          Ust-Koksa;                                     50.27;     85.62;    978; Russian Federation                             
36259;          Kosh-Agach;                                    50.01;     88.67;   1760; Russian Federation                             
36307;          Erzin;                                         50.26;     95.17;   1101; Russian Federation                             
36428;          Bolshenarymskoe;                               49.20;     84.52;    401; Kazakhstan                                     
36535;          Kokpekty;                                      48.75;     82.37;    512; Kazakhstan                                     
36859;          Zharkent;                                      44.17;     80.07;    645; Kazakhstan                                     
36870;          Almaty;                                        43.23;     76.93;    851; Kazakhstan                                     
36927;          Balyktschy;                                    42.47;     76.18;   1660; Kyrgyzstan                                     
36944;          Kyzyl-Suu;                                     42.35;     78.03;   1769; Kyrgyzstan                                     
36974;          Naryn;                                         41.43;     76.00;   2041; Kyrgyzstan                                     
36982;          Tian-Shan;                                     41.88;     78.22;   3639; Kyrgyzstan                                     
37001;          Anapa;                                         44.88;     37.29;     32; Russian Federation                             
37050;          Pjatigorsk;                                    44.05;     43.03;    573; Russian Federation                             
37061;          Budennovsk;                                    44.78;     44.13;    136; Russian Federation                             
37107;          Krasnaya Polyana;                              43.68;     40.20;    567; Russian Federation                             
37126;          Shadzhatmaz;                                   43.74;     42.67;   2056; Russian Federation                             
37228;          Vladikavkaz;                                   43.03;     44.68;    703; Russian Federation                             
37279;          Zugdidi;                                       42.52;     41.88;    118; Georgia                                        
37379;          Poti;                                          42.14;     41.69;      1; Georgia                                        
37395;          Qutaisi;                                       42.25;     42.62;    113; Georgia                                        
37404;          Zestafont;                                     42.13;     43.02;    148; Georgia                                        
37432;          Pasanauri;                                     42.35;     44.69;   1071; Georgia                                        
37470;          Derbent;                                       42.07;     48.30;    -18; Russian Federation                             
37472;          Mahachkala;                                    42.99;     47.50;    -19; Russian Federation                             
37484;          Batumi;                                        41.63;     41.60;      7; Georgia                                        
37496;          Batumi Airport;                                41.63;     41.60;      6; Georgia                                        
37514;          Akhaltsikhe;                                   41.65;     43.00;    994; Georgia                                        
37545;          Tbilisi;                                       41.75;     44.77;    428; Georgia                                        
37549;          Tiflis (SY);                                   41.68;     44.95;    475; Georgia                                        
37621;          Bolnisi;                                       41.45;     44.56;    537; Georgia                                        
37636;          Jeyranchel;                                    41.30;     45.47;    410; Azerbaijan                                     
37661;          Shaki;                                         41.14;     47.16;    641; Azerbaijan                                     
37663;          Akhty;                                         41.47;     47.75;   1015; Russian Federation                             
37682;          Amasia;                                        40.95;     43.78;   1876; Armenia                                        
37686;          Gumri;                                         40.78;     43.83;   1528; Armenia                                        
